timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643195484687,19413,2MinuteRulePage,200,OK,Thread Group 1-38,text,true,,37523,337,10,10,https://lifecharger.org/2-minute-rule/,11420,0,0
1643195484687,11420,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-38,text,true,,512,168,10,10,https://lifecharger.org/2-minute-rule,11420,0,0
1643195496107,7993,2MinuteRulePage-1,200,OK,Thread Group 1-38,text,true,,37011,169,10,10,https://lifecharger.org/2-minute-rule/,7938,0,0
1643195484165,21975,ArchivesPage,200,OK,Thread Group 1-42,text,true,,54426,327,9,9,https://lifecharger.org/archives/,9030,0,0
1643195484165,9030,ArchivesPage-0,301,Moved Permanently,Thread Group 1-42,text,true,,507,163,9,9,https://lifecharger.org/archives,9030,0,0
1643195493196,12944,ArchivesPage-1,200,OK,Thread Group 1-42,text,true,,53919,164,9,9,https://lifecharger.org/archives/,12917,0,0
1643195487307,19910,ArchivesPage,200,OK,Thread Group 1-22,text,true,,54426,327,9,9,https://lifecharger.org/archives/,8876,0,0
1643195487307,8876,ArchivesPage-0,301,Moved Permanently,Thread Group 1-22,text,true,,507,163,9,9,https://lifecharger.org/archives,8876,0,0
1643195496184,11033,ArchivesPage-1,200,OK,Thread Group 1-22,text,true,,53919,164,9,9,https://lifecharger.org/archives/,10973,0,0
1643195484165,23229,ArchivesPage,200,OK,Thread Group 1-3,text,true,,54426,327,9,9,https://lifecharger.org/archives/,11927,0,0
1643195484165,11927,ArchivesPage-0,301,Moved Permanently,Thread Group 1-3,text,true,,507,163,9,9,https://lifecharger.org/archives,11927,0,0
1643195496093,11301,ArchivesPage-1,200,OK,Thread Group 1-3,text,true,,53919,164,9,9,https://lifecharger.org/archives/,11261,0,0
1643195495602,11958,2MinuteRulePage,200,OK,Thread Group 1-28,text,true,,37517,337,9,9,https://lifecharger.org/2-minute-rule/,7565,0,0
1643195495602,7565,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-28,text,true,,512,168,9,9,https://lifecharger.org/2-minute-rule,7565,0,0
1643195503167,4393,2MinuteRulePage-1,200,OK,Thread Group 1-28,text,true,,37005,169,9,9,https://lifecharger.org/2-minute-rule/,4132,0,0
1643195475630,31989,ArchivesPage,200,OK,Thread Group 1-19,text,true,,54426,327,8,8,https://lifecharger.org/archives/,13517,0,1546
1643195475630,13517,ArchivesPage-0,301,Moved Permanently,Thread Group 1-19,text,true,,507,163,8,8,https://lifecharger.org/archives,13517,0,1546
1643195489148,18471,ArchivesPage-1,200,OK,Thread Group 1-19,text,true,,53919,164,8,8,https://lifecharger.org/archives/,17954,0,0
1643195496677,11627,2MinuteRulePage,200,OK,Thread Group 1-14,text,true,,37523,337,8,8,https://lifecharger.org/2-minute-rule/,7458,0,528
1643195496677,7458,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-14,text,true,,512,168,8,8,https://lifecharger.org/2-minute-rule,7458,0,528
1643195504135,4169,2MinuteRulePage-1,200,OK,Thread Group 1-14,text,true,,37011,169,8,8,https://lifecharger.org/2-minute-rule/,3914,0,0
1643195499209,10828,2MinuteRulePage,200,OK,Thread Group 1-12,text,true,,37523,337,7,7,https://lifecharger.org/2-minute-rule/,6827,0,0
1643195499209,6827,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-12,text,true,,512,168,7,7,https://lifecharger.org/2-minute-rule,6827,0,0
1643195506037,4000,2MinuteRulePage-1,200,OK,Thread Group 1-12,text,true,,37011,169,7,7,https://lifecharger.org/2-minute-rule/,3978,0,0
1643195503083,7176,2MinuteRulePage,200,OK,Thread Group 1-25,text,true,,37523,337,6,6,https://lifecharger.org/2-minute-rule/,4103,0,0
1643195503083,4103,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-25,text,true,,512,168,6,6,https://lifecharger.org/2-minute-rule,4103,0,0
1643195507186,3073,2MinuteRulePage-1,200,OK,Thread Group 1-25,text,true,,37011,169,6,6,https://lifecharger.org/2-minute-rule/,3055,0,0
1643195501674,8858,2MinuteRulePage,200,OK,Thread Group 1-30,text,true,,37523,337,5,5,https://lifecharger.org/2-minute-rule/,5393,0,0
1643195501674,5393,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-30,text,true,,512,168,5,5,https://lifecharger.org/2-minute-rule,5393,0,0
1643195507068,3464,2MinuteRulePage-1,200,OK,Thread Group 1-30,text,true,,37011,169,5,5,https://lifecharger.org/2-minute-rule/,3208,0,0
1643195506140,6717,2MinuteRulePage,200,OK,Thread Group 1-42,text,true,,37517,337,4,4,https://lifecharger.org/2-minute-rule/,3010,0,0
1643195506140,3010,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-42,text,true,,512,168,4,4,https://lifecharger.org/2-minute-rule,3010,0,0
1643195509151,3706,2MinuteRulePage-1,200,OK,Thread Group 1-42,text,true,,37005,169,4,4,https://lifecharger.org/2-minute-rule/,2417,0,0
1643195507619,6442,2MinuteRulePage,200,OK,Thread Group 1-19,text,true,,37528,337,3,3,https://lifecharger.org/2-minute-rule/,2634,0,0
1643195507619,2634,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-19,text,true,,512,168,3,3,https://lifecharger.org/2-minute-rule,2634,0,0
1643195510253,3808,2MinuteRulePage-1,200,OK,Thread Group 1-19,text,true,,37016,169,3,3,https://lifecharger.org/2-minute-rule/,1255,0,0
1643195507216,8186,2MinuteRulePage,200,OK,Thread Group 1-22,text,true,,37517,337,2,2,https://lifecharger.org/2-minute-rule/,2880,0,0
1643195507216,2880,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-22,text,true,,512,168,2,2,https://lifecharger.org/2-minute-rule,2880,0,0
1643195510097,5305,2MinuteRulePage-1,200,OK,Thread Group 1-22,text,true,,37005,169,2,2,https://lifecharger.org/2-minute-rule/,2648,0,0
1643195507394,8182,2MinuteRulePage,200,OK,Thread Group 1-3,text,true,,37523,337,1,1,https://lifecharger.org/2-minute-rule/,2811,0,0
1643195507394,2811,2MinuteRulePage-0,301,Moved Permanently,Thread Group 1-3,text,true,,512,168,1,1,https://lifecharger.org/2-minute-rule,2811,0,0
1643195510205,5371,2MinuteRulePage-1,200,OK,Thread Group 1-3,text,true,,37011,169,1,1,https://lifecharger.org/2-minute-rule/,4554,0,537
